class,precision,recall,f1-score,support,Category,patch_size,data_type
weighted avg,0.8391579905028307,0.8366187771466755,0.836090165221575,11972.0,Broadleaf,5,validation
Non-Forest,0.9858038956751403,0.9915324589075212,0.988659879149077,24092.0,Overall,7,train_data
Pine,0.9205875731652409,0.9190874866550542,0.9198369183185716,17797.0,Overall,7,train_data
Nut Pine,0.9413098236775819,0.9311461794019934,0.9362004175365345,12040.0,Overall,7,train_data
Larch,0.9653087663739743,0.9448619199699417,0.954975909619538,21292.0,Overall,7,train_data
Mongolian Oak,0.890880178786316,0.8776037256562236,0.8841921173861116,23620.0,Overall,7,train_data
Oriental Oak,0.830399582136328,0.8676526769633793,0.8486174869221735,18323.0,Overall,7,train_data
accuracy,0.9235003926120652,0.9235003926120652,0.9235003926120652,0.9235003926120652,Overall,7,train_data
macro avg,0.9223816366357637,0.921980741259019,0.9220804548220012,117164.0,Overall,7,train_data
weighted avg,0.924161093777583,0.9235003926120652,0.9237322689910655,117164.0,Overall,7,train_data
Conifer,0.9871280441778237,0.9771896016045936,0.982133681173169,50854.0,Conifer vs Broadleaf,7,train_data
Broadleaf,0.9726324729863635,0.9845250035821751,0.9785426062188465,41874.0,Conifer vs Broadleaf,7,train_data
accuracy,0.980502113708912,0.980502113708912,0.980502113708912,0.980502113708912,Conifer vs Broadleaf,7,train_data
macro avg,0.9798802585820936,0.9808573025933843,0.9803381436960077,92728.0,Conifer vs Broadleaf,7,train_data
weighted avg,0.9805821513722934,0.980502113708912,0.9805120278145577,92728.0,Conifer vs Broadleaf,7,train_data
Pine,0.9468048159296133,0.9608764612582976,0.9537887401965072,17023.0,Conifer,7,train_data
Nut Pine,0.9496823379923761,0.9417051658966821,0.9456769295655841,11905.0,Conifer,7,train_data
Larch,0.9759860282346092,0.9687951459115862,0.9723772928296961,20766.0,Conifer,7,train_data
accuracy,0.9595927073690989,0.9595927073690989,0.9595927073690989,0.9595927073690989,Conifer,7,train_data
macro avg,0.9574910607188661,0.9571255910221886,0.9572809875305959,49694.0,Conifer,7,train_data
weighted avg,0.9596883422080925,0.9595927073690989,0.9596131612215738,49694.0,Conifer,7,train_data
Mongolian Oak,0.9049198934823417,0.8954211663066954,0.9001454719152354,23150.0,Broadleaf,7,train_data
Oriental Oak,0.8678421311206944,0.8795087408718744,0.8736364885286441,18076.0,Broadleaf,7,train_data
accuracy,0.8884441857080483,0.8884441857080483,0.8884441857080483,0.8884441857080483,Broadleaf,7,train_data
macro avg,0.8863810123015181,0.8874649535892849,0.8868909802219398,41226.0,Broadleaf,7,train_data
weighted avg,0.888662734591129,0.8884441857080483,0.8885223121690551,41226.0,Broadleaf,7,train_data
Non-Forest,0.9423520368946964,0.9761146496815286,0.9589362534219789,3768.0,Overall,7,validation
Pine,0.8266155896069287,0.8426146010186757,0.8345384227341517,5890.0,Overall,7,validation
Nut Pine,0.9414934565050038,0.8523836074714246,0.8947252908040091,7174.0,Overall,7,validation
Larch,0.960967993754879,0.942332227609084,0.9515588765782015,7838.0,Overall,7,validation
Mongolian Oak,0.7547433035714286,0.8594122319301033,0.8036841714328159,6295.0,Overall,7,validation
Oriental Oak,0.7645947802197802,0.7282093213409648,0.7459586230002513,6115.0,Overall,7,validation
accuracy,0.8631337648327939,0.8631337648327939,0.8631337648327939,0.8631337648327939,Overall,7,validation
macro avg,0.8651278600921195,0.8668444398419636,0.8649002729952348,37080.0,Overall,7,validation
weighted avg,0.8665721593001015,0.8631337648327939,0.8637138528172111,37080.0,Overall,7,validation
Conifer,0.9842034672892553,0.9562720208504272,0.9700367197062424,20719.0,Conifer vs Broadleaf,7,validation
Broadleaf,0.9300710095708552,0.9742884864165589,0.9516664034117832,12368.0,Conifer vs Broadleaf,7,validation
accuracy,0.9630066189137728,0.9630066189137728,0.9630066189137728,0.9630066189137728,Conifer vs Broadleaf,7,validation
macro avg,0.9571372384300553,0.965280253633493,0.9608515615590127,33087.0,Conifer vs Broadleaf,7,validation
weighted avg,0.9639686246906162,0.9630066189137728,0.9631698513915002,33087.0,Conifer vs Broadleaf,7,validation
Pine,0.8492470910335387,0.9471374045801527,0.8955250811981235,5240.0,Conifer,7,validation
Nut Pine,0.9518991282689913,0.8826501154734411,0.9159676452965847,6928.0,Conifer,7,validation
Larch,0.9789264413518887,0.9661216481360366,0.9724818959842001,7645.0,Conifer,7,validation
accuracy,0.9319133901983546,0.9319133901983546,0.9319133901983546,0.9319133901983546,Conifer,7,validation
macro avg,0.9266908868848063,0.9319697227298768,0.9279915408263028,19813.0,Conifer,7,validation
weighted avg,0.9351791531720841,0.9319133901983546,0.9323676054556158,19813.0,Conifer,7,validation
Mongolian Oak,0.7850819910027572,0.8845650752125572,0.8318597678173292,6116.0,Broadleaf,7,validation
Oriental Oak,0.8631517735995348,0.7504213009774182,0.8028486432885603,5934.0,Broadleaf,7,validation
accuracy,0.8185062240663901,0.8185062240663901,0.8185062240663901,0.8185062240663901,Broadleaf,7,validation
macro avg,0.824116882301146,0.8174931880949877,0.8173542055529448,12050.0,Broadleaf,7,validation
weighted avg,0.8235273096690874,0.8185062240663901,0.8175732937132865,12050.0,Broadleaf,7,validation
Non-Forest,0.9880194051887787,0.9721484310144446,0.980019666506266,24092.0,Overall,9,train_data
Pine,0.8896922909644449,0.9195370006180817,0.9043684894034427,17797.0,Overall,9,train_data
Nut Pine,0.9096365729320836,0.9188538205980067,0.9142219651268491,12040.0,Overall,9,train_data
Larch,0.9500352195351022,0.9501690775878264,0.9501021438467139,21292.0,Overall,9,train_data
Mongolian Oak,0.9438272993029009,0.8884843353090601,0.9153200305310216,23620.0,Overall,9,train_data
Oriental Oak,0.8759097713312342,0.9261038039622332,0.9003077249575551,18323.0,Overall,9,train_data
accuracy,0.9306186200539415,0.9306186200539415,0.9306186200539415,0.9306186200539415,Overall,9,train_data
macro avg,0.9261867598757575,0.9292160781816087,0.927390003395308,117164.0,Overall,9,train_data
weighted avg,0.9316845361560094,0.9306186200539415,0.9308207698937688,117164.0,Overall,9,train_data
Conifer,0.9805321473158551,0.9870594010800197,0.9837849474992416,50925.0,Conifer vs Broadleaf,9,train_data
Broadleaf,0.9841296599556882,0.9761603325131978,0.9801287970546967,41863.0,Conifer vs Broadleaf,9,train_data
accuracy,0.98214208733888,0.98214208733888,0.98214208733888,0.98214208733888,Conifer vs Broadleaf,9,train_data
macro avg,0.9823309036357717,0.9816098667966087,0.9819568722769692,92788.0,Conifer vs Broadleaf,9,train_data
weighted avg,0.9821552308141667,0.98214208733888,0.9821354084849296,92788.0,Conifer vs Broadleaf,9,train_data
Pine,0.932638057787656,0.9482009386407092,0.9403551111877263,17259.0,Conifer,9,train_data
Nut Pine,0.9320134793597304,0.9235328491526839,0.9277537842257537,11979.0,Conifer,9,train_data
Larch,0.9703582905654947,0.9620981548411641,0.9662105690474484,21028.0,Conifer,9,train_data
accuracy,0.9481359169219751,0.9481359169219751,0.9481359169219751,0.9481359169219751,Conifer,9,train_data
macro avg,0.9450032759042938,0.9446106475448524,0.9447731548203095,50266.0,Conifer,9,train_data
weighted avg,0.9482688863768469,0.9481359169219751,0.9481682905176266,50266.0,Conifer,9,train_data
Mongolian Oak,0.9582210857951692,0.9131891562595187,0.9351633171427298,22981.0,Broadleaf,9,train_data
Oriental Oak,0.8948006749630879,0.9488369492283606,0.9210269214068606,17884.0,Broadleaf,9,train_data
accuracy,0.9287899180227579,0.9287899180227579,0.9287899180227579,0.9287899180227579,Broadleaf,9,train_data
macro avg,0.9265108803791285,0.9310130527439396,0.9280951192747953,40865.0,Broadleaf,9,train_data
weighted avg,0.9304660233377866,0.9287899180227579,0.9289767197772512,40865.0,Broadleaf,9,train_data
Non-Forest,0.9748839748839749,0.9477176220806794,0.9611088682546092,3768.0,Overall,9,validation
Pine,0.832541373095199,0.8626485568760611,0.8473276077711999,5890.0,Overall,9,validation
Nut Pine,0.9384147225039849,0.9027042096459437,0.9202131438721136,7174.0,Overall,9,validation
Larch,0.948180677540778,0.9641490176065323,0.956098178137652,7838.0,Overall,9,validation
Mongolian Oak,0.7935330762385049,0.8498808578236696,0.8207409680141137,6295.0,Overall,9,validation
Oriental Oak,0.7998596737414488,0.7457072771872445,0.7718348002708193,6115.0,Overall,9,validation
accuracy,0.8790453074433657,0.8790453074433657,0.8790453074433657,0.8790453074433657,Overall,9,validation
macro avg,0.8812355830006484,0.8788012568700218,0.8795539277200847,37080.0,Overall,9,validation
weighted avg,0.8799215613417501,0.8790453074433657,0.879019920092829,37080.0,Overall,9,validation
Conifer,0.9729197676093533,0.973200134479612,0.9730599308490204,20821.0,Conifer vs Broadleaf,9,validation
Broadleaf,0.9549745824255628,0.9545124606823131,0.9547434656340755,12399.0,Conifer vs Broadleaf,9,validation
accuracy,0.9662251655629139,0.9662251655629139,0.9662251655629139,0.9662251655629139,Conifer vs Broadleaf,9,validation
macro avg,0.963947175017458,0.9638562975809626,0.963901698241548,33220.0,Conifer vs Broadleaf,9,validation
weighted avg,0.9662219244096598,0.9662251655629139,0.9662235114570848,33220.0,Conifer vs Broadleaf,9,validation
Pine,0.8746772249956963,0.9416234247590808,0.9069165551093262,5396.0,Conifer,9,validation
Nut Pine,0.9591232227488151,0.9094228338716472,0.9336120521877027,7121.0,Conifer,9,validation
Larch,0.9811737211113997,0.9756003098373354,0.978379078197825,7746.0,Conifer,9,validation
accuracy,0.9432956620441199,0.9432956620441199,0.9432956620441199,0.9432956620441199,Conifer,9,validation
macro avg,0.9383247229519703,0.9422155228226878,0.9396358951649514,20263.0,Conifer,9,validation
weighted avg,0.9450647198835312,0.9432956620441199,0.9436163201262847,20263.0,Conifer,9,validation
Mongolian Oak,0.818418234664219,0.878777923784494,0.8475247524752474,6088.0,Broadleaf,9,validation
Oriental Oak,0.8607021517553793,0.7934574560640334,0.82571299230421,5747.0,Broadleaf,9,validation
accuracy,0.8373468525559781,0.8373468525559781,0.8373468525559781,0.8373468525559781,Broadleaf,9,validation
macro avg,0.8395601932097991,0.8361176899242637,0.8366188723897288,11835.0,Broadleaf,9,validation
weighted avg,0.8389510332719841,0.8373468525559781,0.8369331018032615,11835.0,Broadleaf,9,validation
Non-Forest,0.9747400311143863,0.9969015617803458,0.9856962470761141,23883.0,Overall,11,train_data
Pine,0.946586272001949,0.8796694589087616,0.9119018980843137,17668.0,Overall,11,train_data
Nut Pine,0.9590062111801242,0.8990184661454002,0.9280439635926497,12022.0,Overall,11,train_data
Larch,0.9142234283934689,0.9708953460902433,0.9417075294441135,21165.0,Overall,11,train_data
Mongolian Oak,0.9442052465710862,0.9039989800688454,0.9236647850629613,23531.0,Overall,11,train_data
Oriental Oak,0.8774730099695233,0.9327878754598868,0.9042853340431194,18211.0,Overall,11,train_data
accuracy,0.9354996565934066,0.9354996565934066,0.9354996565934066,0.9354996565934066,Overall,11,train_data
macro avg,0.9360390332050895,0.9305452814089139,0.9325499595505452,116480.0,Overall,11,train_data
weighted avg,0.9364738031525565,0.9354996565934066,0.9353000246466671,116480.0,Overall,11,train_data
Conifer,0.9859694641253368,0.9820104558013796,0.9839859777715811,50307.0,Conifer vs Broadleaf,11,train_data
Broadleaf,0.9783880597014926,0.9831305641542486,0.9807535787810601,41673.0,Conifer vs Broadleaf,11,train_data
accuracy,0.9825179386823223,0.9825179386823223,0.9825179386823223,0.9825179386823223,Conifer vs Broadleaf,11,train_data
macro avg,0.9821787619134147,0.9825705099778141,0.9823697782763205,91980.0,Conifer vs Broadleaf,11,train_data
weighted avg,0.9825345884289369,0.9825179386823223,0.9825214880658626,91980.0,Conifer vs Broadleaf,11,train_data
Pine,0.9643832216430877,0.9289898386132696,0.9463557206356938,16730.0,Conifer,11,train_data
Nut Pine,0.963022364786599,0.9165535956580733,0.9392135563762763,11792.0,Conifer,11,train_data
Larch,0.9313783257036667,0.984147509578544,0.9570360710709545,20880.0,Conifer,11,train_data
accuracy,0.9493340350593094,0.9493340350593094,0.9493340350593094,0.9493340350593094,Conifer,11,train_data
macro avg,0.9529279707111179,0.943230314616629,0.9475351160276415,49402.0,Conifer,11,train_data
weighted avg,0.950108709451945,0.9493340350593094,0.949165026253709,49402.0,Conifer,11,train_data
Mongolian Oak,0.9622291581851902,0.9189562813202005,0.9400950171251795,23148.0,Broadleaf,11,train_data
Oriental Oak,0.9005460425170969,0.953147794860285,0.9261005860706011,17822.0,Broadleaf,11,train_data
accuracy,0.9338296314376373,0.9338296314376373,0.9338296314376373,0.9338296314376373,Broadleaf,11,train_data
macro avg,0.9313876003511435,0.9360520380902427,0.9330978015978904,40970.0,Broadleaf,11,train_data
weighted avg,0.9353969275911761,0.9338296314376373,0.934007422537562,40970.0,Broadleaf,11,train_data
Non-Forest,0.9259259259259259,0.9798657718120806,0.9521325159775662,3725.0,Overall,11,validation
Pine,0.8702370500438982,0.8435744680851064,0.8566983578219534,5875.0,Overall,11,validation
Nut Pine,0.9633207794334371,0.8202732849972114,0.8860606973416674,7172.0,Overall,11,validation
Larch,0.8841001747233547,0.9689774032937571,0.9245949567547813,7833.0,Overall,11,validation
Mongolian Oak,0.785122766235653,0.8610579987253028,0.8213390075233681,6276.0,Overall,11,validation
Oriental Oak,0.7818973020017407,0.739302172481896,0.7600033838084765,6076.0,Overall,11,validation
accuracy,0.8651946857158319,0.8651946857158319,0.8651946857158319,0.8651946857158319,Overall,11,validation
macro avg,0.868433999727335,0.8688418498992257,0.8668048198713021,36957.0,Overall,11,validation
weighted avg,0.8678747877166479,0.8651946857158319,0.8645041605934467,36957.0,Overall,11,validation
Conifer,0.9733130191182975,0.9610792972920509,0.9671574732009864,20606.0,Conifer vs Broadleaf,11,validation
Broadleaf,0.9363138251409513,0.9559753526836388,0.946042443936294,12334.0,Conifer vs Broadleaf,11,validation
accuracy,0.9591681845780207,0.9591681845780207,0.9591681845780207,0.9591681845780207,Conifer vs Broadleaf,11,validation
macro avg,0.9548134221296244,0.9585273249878448,0.9565999585686402,32940.0,Conifer vs Broadleaf,11,validation
weighted avg,0.9594591011305444,0.9591681845780207,0.9592511960015112,32940.0,Conifer vs Broadleaf,11,validation
Pine,0.8907260963335729,0.9400606980273141,0.9147286821705425,5272.0,Conifer,11,validation
Nut Pine,0.9714332892998679,0.856456543892852,0.9103288201160542,6869.0,Conifer,11,validation
Larch,0.9274193548387096,0.9904737048153465,0.9579100145137881,7663.0,Conifer,11,validation
accuracy,0.9305695819026459,0.9305695819026459,0.9305695819026459,0.9305695819026459,Conifer,11,validation
macro avg,0.9298595801573835,0.9289969822451708,0.9276558389334616,19804.0,Conifer,11,validation
weighted avg,0.932917479307232,0.9305695819026459,0.9299112663603027,19804.0,Conifer,11,validation
Mongolian Oak,0.8231530845392232,0.8804170739654611,0.850822640321184,6138.0,Broadleaf,11,validation
Oriental Oak,0.8595484117872177,0.7946223244295064,0.8258111958819744,5653.0,Broadleaf,11,validation
accuracy,0.8392841998134171,0.8392841998134171,0.8392841998134171,0.8392841998134171,Broadleaf,11,validation
macro avg,0.8413507481632205,0.8375196991974838,0.8383169181015793,11791.0,Broadleaf,11,validation
weighted avg,0.840602222435323,0.8392841998134171,0.8388313168189491,11791.0,Broadleaf,11,validation
